dataset,method,gamma,accuracy,runtime_s,train_size,test_size,n_classes
MiddlePhalanxOutlineCorrect,sharp_sdtw_div,3.0,0.6013745704467354,2.820620536804199,600,291,2
MiddlePhalanxOutlineCorrect,sdtw_div,5.0,0.5154639175257731,1.5781331062316897,600,291,2
MiddlePhalanxOutlineCorrect,sharp_sdtw_div,5.0,0.5773195876288659,2.088284969329834,600,291,2
MiddlePhalanxOutlineCorrect,sdtw_div,7.0,0.5051546391752577,1.5731782913208008,600,291,2
MiddlePhalanxOutlineCorrect,sharp_sdtw_div,7.0,0.5567010309278351,2.084049940109253,600,291,2
MiddlePhalanxOutlineCorrect,sdtw_div,10.0,0.4948453608247423,1.574997901916504,600,291,2
MiddlePhalanxOutlineCorrect,sharp_sdtw_div,10.0,0.5360824742268041,2.09450101852417,600,291,2
MiddlePhalanxTW,sdtw_div,0.5,0.4415584415584415,1.560624122619629,399,154,6
MiddlePhalanxTW,sharp_sdtw_div,0.5,0.448051948051948,2.3086159229278564,399,154,6
MiddlePhalanxTW,sdtw_div,1.0,0.4415584415584415,1.3550071716308594,399,154,6
ArrowHead,sharp_sdtw_div,0.5,0.7028571428571428,26.49070882797241,36,175,3
MiddlePhalanxTW,sharp_sdtw_div,1.0,0.4415584415584415,1.9667155742645264,399,154,6
MiddlePhalanxTW,sdtw_div,3.0,0.4285714285714285,1.3101768493652344,399,154,6
MiddlePhalanxTW,sharp_sdtw_div,3.0,0.4285714285714285,1.7147221565246582,399,154,6
ArrowHead,sdtw_div,1.0,0.6,4.833265542984009,36,175,3
MiddlePhalanxTW,sdtw_div,5.0,0.4285714285714285,1.3077211380004885,399,154,6
MiddlePhalanxTW,sharp_sdtw_div,5.0,0.4415584415584415,1.675206184387207,399,154,6
MiddlePhalanxTW,sdtw_div,7.0,0.422077922077922,1.3041234016418457,399,154,6
MiddlePhalanxTW,sharp_sdtw_div,7.0,0.4415584415584415,1.670910120010376,399,154,6
MiddlePhalanxTW,sdtw_div,10.0,0.4285714285714285,1.3008346557617188,399,154,6
MiddlePhalanxTW,sharp_sdtw_div,10.0,0.4285714285714285,1.6683776378631592,399,154,6
